,date,price_change,relative_volume,sequence
0,2016-08-24,0.0,-68.2454660397,0.0
1,2016-08-24,0.0,-88.679153061,1.0
2,2016-08-24,0.131839156229,-77.0291210279,2.0
3,2016-08-24,0.0659195781147,-77.4972412401,3.0
4,2016-08-24,0.197758734344,-48.2809795702,4.0
5,2016-08-24,0.395517468688,-64.8708044042,5.0
6,2016-08-24,0.131839156229,-58.0332692658,6.0
7,2016-08-24,0.0659195781147,-45.6127772297,7.0
8,2016-08-24,0.0,-34.7923695982,8.0
9,2016-08-24,-0.197758734344,-35.4130842257,9.0
10,2016-08-24,-0.197758734344,-20.2998014877,10.0
11,2016-08-24,-0.197758734344,-62.5851945361,11.0
12,2016-08-24,-0.197758734344,-89.0280064981,12.0
13,2016-08-24,-0.0659195781147,-78.4827681734,13.0
14,2016-08-24,-0.131839156229,-79.852713423,14.0
15,2016-08-24,-0.263678312459,-5.01903063981,15.0
16,2016-08-24,-0.527356624918,-25.6667116773,16.0
17,2016-08-24,-0.395517468688,85.4579469406,17.0
18,2016-08-24,-0.395517468688,-31.9917538495,18.0
19,2016-08-24,-0.329597890574,-28.2575130317,19.0
20,2016-08-24,-0.329597890574,-46.9414238014,20.0
21,2016-08-24,-0.329597890574,-56.8227721915,21.0
22,2016-08-24,-0.527356624918,-26.9890072774,22.0
23,2016-08-24,-0.791034937376,62.2794653747,23.0
24,2016-08-24,-0.395517468688,-32.5667746761,24.0
25,2016-08-24,-0.395517468688,-74.4492966989,25.0
26,2016-08-24,-0.395517468688,-83.7307083237,26.0
27,2016-08-24,-0.395517468688,-54.9016133238,27.0
28,2016-08-24,-0.527356624918,-71.0614312531,28.0
29,2016-08-24,-0.527356624918,-77.6936994853,29.0
30,2016-08-24,-0.461437046803,-84.3188199486,30.0
31,2016-08-24,-0.329597890574,17.0993575415,31.0
32,2016-08-24,-0.263678312459,-39.0772397447,32.0
33,2016-08-24,-0.329597890574,-31.4809474293,33.0
34,2016-08-24,-0.395517468688,-73.466433053,34.0
35,2016-08-24,-0.329597890574,-59.127427111,35.0
36,2016-08-24,-0.329597890574,-67.2543380648,36.0
37,2016-08-24,-0.329597890574,-56.1079699341,37.0
38,2016-08-24,-0.329597890574,-51.1470014021,38.0
39,2016-08-24,-0.329597890574,-59.5384573376,39.0
40,2016-08-24,-0.395517468688,-53.5004123048,40.0
41,2016-08-24,-0.593276203032,-51.4659702679,41.0
42,2016-08-24,-0.593276203032,-64.0335178323,42.0
43,2016-08-24,-0.527356624918,-43.5119867517,43.0
44,2016-08-24,-0.527356624918,-18.939459478,44.0
45,2016-08-24,-0.659195781147,88.235522647,45.0
46,2016-08-24,-0.593276203032,-20.2078238802,46.0
47,2016-08-24,-0.461437046803,-65.0455149812,47.0
48,2016-08-25,-0.728476821192,-30.0637482831,0.0
49,2016-08-25,-1.19205298013,97.6246124572,1.0
50,2016-08-25,-1.32450331126,22.935589611,2.0
51,2016-08-25,-0.927152317881,-37.5644561724,3.0
52,2016-08-25,-0.927152317881,-41.4579516473,4.0
53,2016-08-25,-1.05960264901,-46.1503206663,5.0
54,2016-08-25,-1.12582781457,-0.883861464322,6.0
