,date,price_change,relative_volume,sequence
0,2016-08-29,0.0,-31.2428108894,0.0
1,2016-08-29,-0.833333333333,86.3349401647,1.0
2,2016-08-29,-0.735294117647,7.15066874961,2.0
3,2016-08-29,-0.245098039216,-13.499069135,3.0
4,2016-08-29,0.0,253.397296933,4.0
5,2016-08-29,-0.343137254902,47.6144529278,5.0
6,2016-08-29,-0.490196078431,50.5670777761,6.0
7,2016-08-29,-0.882352941176,-10.1095128924,7.0
8,2016-08-29,-0.93137254902,30.7801041175,8.0
9,2016-08-29,-1.22549019608,62.1031897206,9.0
10,2016-08-29,-1.27450980392,-53.9590470293,10.0
11,2016-08-29,-1.07843137255,-69.0436447561,11.0
12,2016-08-29,-0.93137254902,5.67223938594,12.0
13,2016-08-29,-1.17647058824,-66.1068121475,13.0
14,2016-08-29,-0.980392156863,-45.7375352055,14.0
15,2016-08-29,-1.17647058824,-71.4352974496,15.0
16,2016-08-29,-1.32352941176,0.125163296205,16.0
17,2016-08-29,-1.27450980392,-73.1071555197,17.0
18,2016-08-29,-1.07843137255,-71.8577318571,18.0
19,2016-08-29,-1.27450980392,-73.673109961,19.0
20,2016-08-29,-0.980392156863,-57.8973837423,20.0
21,2016-08-29,-1.07843137255,7.96020931129,21.0
22,2016-08-29,-1.17647058824,-95.7064507515,22.0
23,2016-08-29,-1.22549019608,-14.0760151837,23.0
24,2016-08-29,-1.37254901961,-46.157748207,24.0
25,2016-08-29,-1.42156862745,-52.3538089245,25.0
26,2016-08-29,-1.37254901961,68.3305384921,26.0
27,2016-08-29,-1.42156862745,20.8307267485,27.0
28,2016-08-29,-1.61764705882,-81.5874129257,28.0
29,2016-08-29,-1.61764705882,-20.2812531707,29.0
30,2016-08-29,-1.56862745098,37.9657034002,30.0
31,2016-08-29,-1.51960784314,-81.0376542215,31.0
32,2016-08-29,-1.61764705882,-86.7255557148,32.0
33,2016-08-29,-1.61764705882,-62.0338564518,33.0
34,2016-08-29,-1.76470588235,-1.8629308061,34.0
35,2016-08-29,-1.71568627451,1.46075402795,35.0
36,2016-08-29,-1.66666666667,-71.6114696051,36.0
37,2016-08-29,-1.66666666667,-92.84871378,37.0
38,2016-08-29,-1.66666666667,-56.4001628962,38.0
39,2016-08-29,-1.61764705882,-82.4333588947,39.0
40,2016-08-29,-1.22549019608,-61.5592013297,40.0
41,2016-08-29,-1.37254901961,-71.5686233343,41.0
42,2016-08-29,-1.47058823529,-74.0032067918,42.0
43,2016-08-29,-1.56862745098,-71.82276837,43.0
44,2016-08-29,-1.8137254902,-73.6094871524,44.0
45,2016-08-29,-1.8137254902,65.5138210412,45.0
46,2016-08-29,-1.61764705882,-25.397606715,46.0
47,2016-08-29,-1.27450980392,-38.7134018067,47.0
48,2016-08-30,-0.198609731877,-60.1912319262,0.0
49,2016-08-30,0.198609731877,-12.4051636422,1.0
50,2016-08-30,0.0993048659384,-39.2485199199,2.0
51,2016-08-30,0.0496524329692,-83.5733687819,3.0
52,2016-08-30,0.0,-79.0118661674,4.0
53,2016-08-30,-0.0496524329692,-52.4144002352,5.0
54,2016-08-30,-0.297914597815,-23.4295630113,6.0
55,2016-08-30,-0.198609731877,-54.2143876112,7.0
56,2016-08-30,-0.347567030785,-43.0162989881,8.0
57,2016-08-30,-0.248262164846,-57.4805512539,9.0
58,2016-08-30,-0.397219463754,-35.3921232156,10.0
59,2016-08-30,-0.546176762661,108.160046462,11.0
60,2016-08-30,-0.595829195631,-6.48095914041,12.0
61,2016-08-30,-0.695134061569,-9.44368342117,13.0
62,2016-08-30,-0.446871896723,1.01888258565,14.0
63,2016-08-30,-0.794438927507,-66.8815042894,15.0
64,2016-08-30,-0.744786494538,-42.8555789519,16.0
65,2016-08-30,-0.695134061569,-69.3621838788,17.0
66,2016-08-30,-0.695134061569,-60.3268081584,18.0
67,2016-08-30,-0.794438927507,-30.6837085208,19.0
68,2016-08-30,-0.844091360477,-30.3025059658,20.0
69,2016-08-30,-0.744786494538,-32.8811789711,21.0
70,2016-08-30,-0.695134061569,-77.4824944682,22.0
71,2016-08-30,-0.6454816286,-60.5542456907,23.0
72,2016-08-30,-0.496524329692,-49.8288964038,24.0
73,2016-08-30,-0.347567030785,-48.2843029847,25.0
74,2016-08-30,-0.397219463754,-66.3359196476,26.0
75,2016-08-30,-0.397219463754,-56.4020839192,27.0
76,2016-08-30,-0.198609731877,-80.95249613,28.0
77,2016-08-30,0.0496524329692,-4.59513146225,29.0
78,2016-08-30,-0.0496524329692,-35.6352471585,30.0
79,2016-08-30,-0.0993048659384,-52.6224024047,31.0
80,2016-08-30,-0.0993048659384,-72.2222396072,32.0
81,2016-08-30,-0.297914597815,-49.9294473523,33.0
82,2016-08-30,-0.248262164846,-60.3473193392,34.0
83,2016-08-30,-0.248262164846,-89.0344402669,35.0
84,2016-08-30,-0.198609731877,-86.6707576907,36.0
85,2016-08-30,0.0,-83.3132845114,37.0
86,2016-08-30,-0.0496524329692,-95.1686666993,38.0
87,2016-08-30,-0.198609731877,-84.129045126,39.0
88,2016-08-30,-0.248262164846,-88.2233391357,40.0
89,2016-08-30,-0.0993048659384,-85.5705419178,41.0
90,2016-08-30,-0.397219463754,-11.6376287674,42.0
91,2016-08-30,-0.397219463754,-68.5298965982,43.0
92,2016-08-30,-0.297914597815,-64.2538100078,44.0
93,2016-08-30,-0.695134061569,-25.1400009968,45.0
94,2016-08-30,-0.397219463754,-73.5087022226,46.0
95,2016-08-30,-0.397219463754,-63.3584952357,47.0
96,2016-08-31,0.398803589232,-55.0961575314,0.0
97,2016-08-31,0.0,-48.5402104498,1.0
98,2016-08-31,-0.199401794616,-63.3328445472,2.0
99,2016-08-31,0.348953140578,-32.1095877404,3.0
100,2016-08-31,0.199401794616,-66.3627819084,4.0
101,2016-08-31,0.0997008973081,-52.1656338676,5.0
102,2016-08-31,0.0997008973081,-45.3068307223,6.0
103,2016-08-31,-0.348953140578,85.9243601813,7.0
104,2016-08-31,-0.0997008973081,-26.4483506763,8.0
105,2016-08-31,-0.299102691924,-82.7236518161,9.0
106,2016-08-31,-0.398803589232,-74.6298040347,10.0
107,2016-08-31,-0.548354935194,-17.8747178469,11.0
108,2016-08-31,-0.299102691924,-83.4630964334,12.0
109,2016-08-31,-0.24925224327,-61.2767057242,13.0
110,2016-08-31,0.049850448654,-55.1200939596,14.0
111,2016-08-31,-0.199401794616,-48.6387329021,15.0
112,2016-08-31,-0.24925224327,-44.4475166136,16.0
113,2016-08-31,-0.049850448654,-78.6859902789,17.0
114,2016-08-31,0.0,-87.1509677078,18.0
115,2016-08-31,0.149551345962,8.75476591995,19.0
116,2016-08-31,0.398803589232,115.36194034,20.0
117,2016-08-31,0.24925224327,-44.8134138207,21.0
118,2016-08-31,-0.049850448654,-23.5464697504,22.0
119,2016-08-31,0.299102691924,-40.468370797,23.0
120,2016-08-31,0.299102691924,-48.6666799149,24.0
121,2016-08-31,0.0997008973081,-85.9983702404,25.0
122,2016-08-31,0.299102691924,-16.4733447444,26.0
123,2016-08-31,0.199401794616,13.0398434224,27.0
124,2016-08-31,0.149551345962,-75.8731617647,28.0
125,2016-08-31,-0.049850448654,-48.1504085663,29.0
126,2016-08-31,0.0,-59.5916349874,30.0
127,2016-08-31,0.0997008973081,-81.4439902025,31.0
128,2016-08-31,0.049850448654,-87.8492834241,32.0
129,2016-08-31,-0.149551345962,-13.8816743907,33.0
130,2016-08-31,-0.299102691924,-11.3384626898,34.0
131,2016-08-31,-0.199401794616,-78.1963870424,35.0
132,2016-08-31,-0.299102691924,-63.2951292675,36.0
133,2016-08-31,-0.398803589232,32.6308149918,37.0
134,2016-08-31,-0.149551345962,-80.3741814334,38.0
135,2016-08-31,-0.299102691924,-83.240032992,39.0
136,2016-08-31,-0.299102691924,-72.3359570263,40.0
137,2016-08-31,-0.149551345962,-14.2174061255,41.0
138,2016-08-31,-0.348953140578,3.67496835365,42.0
139,2016-08-31,-0.299102691924,-63.0351166392,43.0
140,2016-08-31,-0.598205383848,-66.7822657775,44.0
141,2016-08-31,-0.797607178465,13.2806659254,45.0
142,2016-08-31,-0.997008973081,72.9583818414,46.0
143,2016-08-31,-0.598205383848,-17.4405395372,47.0
144,2016-09-01,-0.25075225677,-45.0179883988,0.0
145,2016-09-01,-0.100300902708,-66.3944064689,1.0
146,2016-09-01,-0.401203610833,-19.0963299258,2.0
147,2016-09-01,-0.150451354062,-67.7164473171,3.0
148,2016-09-01,-0.351053159478,-65.9369943377,4.0
149,2016-09-01,-0.150451354062,-9.37059307259,5.0
150,2016-09-01,0.0,-59.6771928463,6.0
151,2016-09-01,0.0501504513541,-73.340023166,7.0
152,2016-09-01,0.100300902708,-81.4238155292,8.0
153,2016-09-01,-0.0501504513541,-35.9989828643,9.0
154,2016-09-01,0.0,-81.80943275,10.0
155,2016-09-01,0.0,-90.0238902338,11.0
156,2016-09-01,-0.200601805416,-61.651490867,12.0
157,2016-09-01,-0.150451354062,-89.1384764797,13.0
158,2016-09-01,-0.300902708124,-77.325483011,14.0
159,2016-09-01,-0.200601805416,-63.5696547183,15.0
160,2016-09-01,-0.300902708124,-78.4057041621,16.0
161,2016-09-01,-0.300902708124,-79.8303666398,17.0
162,2016-09-01,-0.401203610833,-21.0289813051,18.0
163,2016-09-01,-0.0501504513541,-21.5501385583,19.0
164,2016-09-01,0.0,-88.7830922306,20.0
165,2016-09-01,-0.0501504513541,-77.1663428114,21.0
166,2016-09-01,-0.25075225677,-74.1779467369,22.0
167,2016-09-01,-0.100300902708,-40.9523677824,23.0
168,2016-09-01,-0.200601805416,-58.3308990996,24.0
169,2016-09-01,-0.150451354062,-95.935010715,25.0
170,2016-09-01,-1.10330992979,128.481894352,26.0
171,2016-09-01,-0.702106318957,-93.7791144992,27.0
172,2016-09-01,-0.551654964895,-89.3524453367,28.0
173,2016-09-01,-0.902708124373,30.0809031088,29.0
174,2016-09-01,-0.902708124373,25.0523444669,30.0
175,2016-09-01,-1.10330992979,153.6608306,31.0
176,2016-09-01,-1.10330992979,92.2822969232,32.0
177,2016-09-01,-1.10330992979,126.312169009,33.0
178,2016-09-01,-1.2036108325,95.7171442113,34.0
179,2016-09-01,-1.2036108325,-27.0662771242,35.0
180,2016-09-01,-1.10330992979,-40.7690871045,36.0
181,2016-09-01,-1.40421263791,-3.07989907966,37.0
182,2016-09-01,-1.25376128385,60.1410233084,38.0
183,2016-09-01,-1.30391173521,-2.13229375643,39.0
184,2016-09-01,-1.15346038114,-4.01910295016,40.0
185,2016-09-01,-1.15346038114,-67.8736132165,41.0
186,2016-09-01,-1.25376128385,-48.3356253107,42.0
187,2016-09-01,-1.50451354062,60.3626554773,43.0
188,2016-09-01,-1.80541624875,89.3801647558,44.0
189,2016-09-01,-1.60481444333,2.34025180181,45.0
190,2016-09-01,-1.8555667001,3.22748860369,46.0
191,2016-09-01,-2.00601805416,17.6954584829,47.0
192,2016-09-02,0.0511770726715,-54.4752303332,0.0
193,2016-09-02,0.307062436029,-68.7410077013,1.0
194,2016-09-02,0.204708290686,-65.2006084978,2.0
195,2016-09-02,0.3582395087,-61.8930641229,3.0
196,2016-09-02,0.614124872057,-43.3266098604,4.0
197,2016-09-02,0.767656090072,16.331824154,5.0
198,2016-09-02,0.921187308086,-42.5357101456,6.0
199,2016-09-02,0.818833162743,-57.5573168803,7.0
200,2016-09-02,0.767656090072,-48.0368893856,8.0
201,2016-09-02,0.767656090072,-55.1076710071,9.0
202,2016-09-02,1.0747185261,67.1951489431,10.0
203,2016-09-02,1.12589559877,-49.2678320427,11.0
204,2016-09-02,1.02354145343,-46.8253014625,12.0
205,2016-09-02,1.12589559877,-56.8156293771,13.0
206,2016-09-02,0.921187308086,-30.4126892405,14.0
207,2016-09-02,1.02354145343,-80.9554850291,15.0
208,2016-09-02,0.665301944729,-11.6513963196,16.0
209,2016-09-02,0.921187308086,37.326593774,17.0
210,2016-09-02,0.921187308086,-43.4065094545,18.0
211,2016-09-02,0.972364380757,31.4819189663,19.0
212,2016-09-02,0.767656090072,-51.7504167066,20.0
213,2016-09-02,0.7164790174,-1.40659504564,21.0
214,2016-09-02,0.870010235415,-27.9345310892,22.0
215,2016-09-02,0.818833162743,-50.1483105048,23.0
216,2016-09-02,0.870010235415,-73.7685479272,24.0
217,2016-09-02,0.767656090072,-82.3850464315,25.0
218,2016-09-02,0.818833162743,-46.2753309642,26.0
219,2016-09-02,0.7164790174,-68.0459266143,27.0
220,2016-09-02,0.7164790174,-60.4637311339,28.0
221,2016-09-02,0.614124872057,-76.8297138281,29.0
222,2016-09-02,0.307062436029,32.0776273555,30.0
223,2016-09-02,0.562947799386,-88.8451939834,31.0
224,2016-09-02,0.460593654043,-73.8454018539,32.0
225,2016-09-02,0.307062436029,-58.7928441977,33.0
226,2016-09-02,0.0511770726715,-24.6731685106,34.0
227,2016-09-02,-0.204708290686,-5.26266416653,35.0
228,2016-09-02,-0.818833162743,36.4140522863,36.0
229,2016-09-02,-0.460593654043,97.3192677275,37.0
230,2016-09-02,-0.614124872057,56.0143576452,38.0
231,2016-09-02,-0.614124872057,3.34258902267,39.0
232,2016-09-02,-0.818833162743,-8.56422744033,40.0
233,2016-09-02,-0.562947799386,29.7561001679,41.0
234,2016-09-02,-0.665301944729,-55.2952341093,42.0
235,2016-09-02,-0.7164790174,-13.682002098,43.0
236,2016-09-02,-0.511770726714,80.4211464375,44.0
237,2016-09-02,-0.921187308086,-25.4966412683,45.0
238,2016-09-02,-0.818833162743,-37.9982851016,46.0
239,2016-09-02,-0.7164790174,-16.6574681351,47.0
